long_id,treatment,time,pres,accmag,mean_strain,roi,zeroX,ODBA
U300911094144,50rpm_modified,5.023,103.13013102213543,0.15817465950916088,79.53698111874613,unlabeled,0,8.207100110892204
U300911094144,50rpm_modified,5.034,103.04947102864585,-0.01368458097863545,150.09544327425866,unlabeled,0,8.500899651888755
U300911094144,50rpm_modified,5.044,103.09880777994792,-0.06163114660617097,109.52816450875486,unlabeled,0,9.330899656657127
U300911094144,50rpm_modified,5.054,103.25613606770833,-0.07551468497828395,66.39360137769555,unlabeled,0,9.570500225666908
U300911094144,50rpm_modified,5.065,103.49013671875,0.18512879567749607,38.94877340461009,unlabeled,0,9.912300003413108
U300911094144,50rpm_modified,5.075,103.428466796875,0.421744980366082,68.10279884932898,unlabeled,0,9.683900328520684
U300911094144,50rpm_modified,5.085,103.33546956380208,0.5539230407506164,46.95060809833887,unlabeled,0,10.288300098720937
U300911094144,50rpm_modified,5.096,103.42480875651043,0.469537871100231,107.81199072091067,unlabeled,0,10.97130003372207
U300911094144,50rpm_modified,5.106,103.56546630859376,0.7870468382923868,50.38993199023798,unlabeled,0,11.210000162217764
U300911094144,50rpm_modified,5.117,103.6834716796875,1.4946453966307145,96.10573211927432,unlabeled,0,11.995600504968314
U300911094144,50rpm_modified,5.127,103.8044677734375,1.7779725517860443,101.25425348280687,unlabeled,0,12.821800577733665
U300911094144,50rpm_modified,5.137,103.81746826171874,2.080912504239823,96.67779004855572,unlabeled,0,11.905399925205856
U300911094144,50rpm_modified,5.147,103.86813557942708,1.854253297493944,102.39139302515892,unlabeled,0,11.354100111220031
U300911094144,50rpm_modified,5.158,103.919140625,2.005028693494854,132.68255801222983,unlabeled,0,11.778500096295028
U300911094144,50rpm_modified,5.168,103.92279866536458,2.314013836301836,149.26526164517955,unlabeled,0,12.121900407765057
U300911094144,50rpm_modified,5.178,103.936474609375,2.311922128049309,144.10976396543626,unlabeled,0,11.367399600241331
U300911094144,50rpm_modified,5.189,103.95080159505207,1.6798433074359735,143.5446823523656,unlabeled,0,10.473000356648116
U300911094144,50rpm_modified,5.199,104.02246907552085,1.819720255799341,132.6895343284406,unlabeled,1,10.840799917671829
U300911094144,50rpm_modified,5.209,104.17980143229167,1.9402764294350392,94.96859257692229,unlabeled,0,10.862999712917954
U300911094144,50rpm_modified,5.219,104.2661376953125,1.657127043516228,122.09948632052405,unlabeled,0,10.479600157234819
U300911094144,50rpm_modified,5.23,104.2447998046875,1.43189037118138,109.52118819254412,unlabeled,0,10.032499947044998
U300911094144,50rpm_modified,5.24,104.21913655598958,0.9626832913775836,123.8086837921575,unlabeled,0,9.198600351307542
U300911094144,50rpm_modified,5.25,104.28713785807292,0.8071605370859203,91.23626340417174,unlabeled,0,8.830099832508715
U300911094144,50rpm_modified,5.261,104.40814208984375,0.7277700617383598,67.24471195540688,unlabeled,0,8.259799761269242
U300911094144,50rpm_modified,5.271,104.52779947916667,0.391206099522428,63.233330134226364,unlabeled,0,7.3093002958036966
U300911094144,50rpm_modified,5.282,104.58980712890624,0.22236310786571067,49.5178924638944,unlabeled,0,6.1873006326891495
U300911094144,50rpm_modified,5.292,104.58080240885415,0.1585807256120706,70.09802528560311,unlabeled,0,5.451700134966523
U300911094144,50rpm_modified,5.302,104.59646809895833,0.09701267759484722,69.51899104011096,unlabeled,0,5.679499999228867
U300911094144,50rpm_modified,5.313,104.6248046875,-0.13528515861892032,30.660909746240613,unlabeled,0,6.416700491849335
U300911094144,50rpm_modified,5.323,104.68380126953124,-0.2760549441352822,94.09655305057869,unlabeled,0,7.050100586358459
